CaneNo,12-Sep,16-Sep,19-Sep,23-Sep,26-Sep,30-Sep,03-Oct,07-Oct,10-Oct,14-Oct,17-Oct,21-Oct,24-Oct,29-Oct,31-Oct,04-Nov,07-Nov,11-Nov,18-Nov,25-Nov
1181,0,0,0,0,0,0,0,2,2,2,2,3,3,5,5,5,5,5,5,5
1182,0,0,0,0,0,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7
1183,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,3,3,4
1184,0,0,0,0,0,0,0,1,1,2,2,3,2,3,4,8,8,8,8,8
1185,0,0,0,0,0,1,1,1,2,3,5,6,6,6,6,6,6,6,8,10
1186,0,0,0,0,0,0,0,3,4,6,7,7,7,7,8,8,8,8,8,8
1187,0,0,0,0,1,1,1,1,1,3,4,5,8,9,9,9,9,9,11,12
1188,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,6,6,6,5,6
1189,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5
1190,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,5,5,5,5,5
1191,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,5,5
1192,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,5,6
1193,0,0,0,1,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5
1194,0,0,0,0,0,0,0,1,1,3,3,4,4,7,6,8,8,8,9,9
1195,0,0,0,0,0,0,0,2,2,2,2,2,2,5,5,5,6,6,6,6
1196,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,4,5,5,5,5
1197,0,0,0,0,0,0,0,2,6,8,8,8,8,8,8,8,8,8,8,9
1198,0,0,0,0,0,0,0,3,3,7,7,7,7,7,7,7,7,7,7,7
1199,0,0,0,0,1,1,1,1,1,1,2,2,3,4,5,5,5,5,7,7
1200,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,5,6,8,9,9
1201,0,0,0,0,0,5,8,8,8,9,9,9,9,9,7,7,7,7,7,7
1202,0,0,0,0,0,1,1,3,3,5,6,6,7,7,7,7,7,7,8,8
1203,0,0,0,0,0,0,0,2,2,2,2,3,3,5,6,6,6,6,6,6
1204,0,0,0,0,0,0,0,0,0,1,2,6,8,8,8,8,8,8,8,8
1205,0,0,0,0,0,0,1,1,1,4,4,4,4,4,4,4,6,6,6,8
1206,0,0,0,0,0,0,0,4,9,12,12,12,12,12,12,12,12,12,12,12
1207,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,4,4,4,4
1208,0,0,0,0,0,0,0,0,0,0,3,7,9,11,11,11,11,11,11,11
1209,0,0,0,0,0,0,0,0,1,5,6,6,6,6,6,6,7,7,7,7
1210,0,0,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,6,7
1211,0,0,0,0,0,0,0,1,1,2,2,2,2,4,4,4,4,4,6,6
1212,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,5,7,8,8,8
1213,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,6,6,6,7
1214,0,0,0,0,0,1,1,1,1,2,3,5,5,5,5,5,8,8,9,9
1215,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,5,5
1216,0,0,0,0,1,3,6,9,9,10,10,10,10,10,10,10,10,10,10,11
1217,0,0,0,0,1,1,2,6,6,9,9,9,9,9,9,9,9,9,9,10
1218,0,0,0,0,0,0,0,0,0,1,1,2,2,5,5,5,5,5,5,5
1219,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,3,3,3
1220,0,0,0,0,0,1,2,4,7,7,7,7,7,7,7,7,7,7,7,7
1221,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,4,4
1222,0,0,0,0,1,2,4,5,5,5,5,5,5,5,5,5,5,5,6,6
1223,0,0,0,0,0,0,0,3,4,6,6,7,7,8,8,8,8,8,8,9
1224,0,0,0,0,0,0,0,1,1,1,1,1,3,5,5,5,5,5,5,5
1225,0,0,0,0,0,0,1,1,3,3,3,3,5,5,5,5,5,5,5,5
1226,0,0,0,0,0,0,0,0,0,5,5,5,7,7,7,7,8,8,8,8
1227,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,3,7,7
1228,0,0,0,0,0,0,1,1,2,4,4,4,4,4,4,4,4,4,4,5
1229,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,6,8,9,10
1230,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,4,4,5
1231,0,0,0,0,0,1,1,1,1,2,2,6,7,7,7,7,7,7,9,10
1232,0,0,0,0,0,0,0,0,0,1,1,2,4,8,8,8,8,8,8,8
1233,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,5
1234,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,6,7,7,8
1235,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,4,5
