CaneID,Treatment
1384,Budup 4% + AB 2%                         L
1385,2% AB                                                M
1386,Budup 1% + AB 2%                        M
1387,6% HiCane                                       M
1388,Budup 1% + AB 2%                       VL
1389,Budup 4% + AB 2%                       VL
1390,Budup 4% + AB 2%                        M
1391,Budup 6% + AB 2%                        M
1392,Budup 2% + AB 2%                         L
1393,Budup 6% + AB 2%                       VL
1394,Budup 2% + AB 2%                        E
1395,Budup 2% + AB 2%                        M
1396,Budup 6% + AB 2%                        E
1397,Untreated control
1398,Untreated control
1399,6% HiCane                                        L
1400,Budup 1% + AB 2%                         L
1401,Budup 4% + AB 2%                         L
1402,Budup 4% + AB 2%                        E
1403,Budup 2% + AB 2%                       VL
1404,6% HiCane + 0.2% Driftstop E         
1405,Budup Lonza 4% + AB 2%           M
1406,Budup 6% + AB 2%                         L
1407,Budup 1% + AB 2%                        E
1408,6% HiCane                                      VL
1409,Budup 4% + AB 2%                       VL
1410,Budup 4% + AB 2%                         L
1411,6% HiCane                                        L
1412,Budup 2% + AB 2%                        E
1413,6% HiCane                                       M
1414,Budup 1% + AB 2%                         L
1415,Budup Lonza 4% + AB 2%           M
1416,Untreated control
1417,2% AB                                                M
1418,Budup 1% + AB 2%                       VL
1419,Budup 6% + AB 2%                       VL
1420,Budup 6% + AB 2%                        E
1421,Budup 2% + AB 2%                        M
1422,Budup 6% + AB 2%                        M
1423,6% HiCane + 0.2% Driftstop E         
1424,Budup 6% + AB 2%                         L
1425,Budup 1% + AB 2%                        E
1426,Budup 4% + AB 2%                        E
1427,Budup 4% + AB 2%                        M
1428,Budup 2% + AB 2%                         L
1429,Budup 2% + AB 2%                       VL
1430,Untreated control
1431,6% HiCane                                      VL
1432,Budup 1% + AB 2%                        M
1433,Budup Lonza 4% + AB 2%           M
1434,Budup 2% + AB 2%                        E
1435,6% HiCane                                        L
1436,Budup 6% + AB 2%                         L
1437,Budup 6% + AB 2%                        M
1438,Budup 1% + AB 2%                       VL
1439,Budup 6% + AB 2%                       VL
1440,Budup 1% + AB 2%                         L
1441,Budup 1% + AB 2%                        E
1442,2% AB                                                M
1443,Untreated control
1444,Untreated control
1445,Budup 1% + AB 2%                        M
1446,Budup 4% + AB 2%                        E
1447,6% HiCane                                      VL
1448,Budup 2% + AB 2%                         L
1449,6% HiCane                                       M
1450,Budup 2% + AB 2%                       VL
1451,Budup 4% + AB 2%                        M
1452,Budup 4% + AB 2%                       VL
1453,Budup 4% + AB 2%                         L
1454,Budup 6% + AB 2%                        E
1455,Budup 2% + AB 2%                        M
1456,6% HiCane + 0.2% Driftstop E         
1457,Untreated control
1458,Budup 1% + AB 2%                         L
1459,Budup Lonza 4% + AB 2%           M
1460,Budup 6% + AB 2%                        M
1461,Budup 4% + AB 2%                        E
1462,Budup 2% + AB 2%                       VL
1463,Budup 4% + AB 2%                       VL
1464,Budup 6% + AB 2%                         L
1465,6% HiCane                                       M
1466,6% HiCane                                      VL
1467,Budup 1% + AB 2%                        M
1468,Untreated control
1469,6% HiCane                                        L
1470,Budup 2% + AB 2%                         L
1471,Budup 2% + AB 2%                        E
1472,Budup 4% + AB 2%                         L
1473,Budup 2% + AB 2%                        M
1474,Budup 1% + AB 2%                        E
1475,Budup 6% + AB 2%                        E
1476,6% HiCane + 0.2% Driftstop E         
1477,2% AB                                                M
1478,Budup 4% + AB 2%                        M
1479,Budup 1% + AB 2%                       VL
1480,Budup 6% + AB 2%                       VL
