CaneID,Treatment
377,3% HiCane                                        L
378,Budup 4% + AB 2%                        M
379,Budup 4% + AB 2%                         L
380,2% AB                                                M
381,3% HiCane                                       M
382,3% HiCane + 0.2% Driftstop E         
383,Budup 6% + AB 2%                        E
384,Budup Lonza 4% + AB 2%           M
385,3% HiCane + 0.2% Driftstop E         
386,Budup 4% + AB 2%                         L
387,2% AB                                                M
388,3% HiCane                                      VL
389,Budup 4% + AB 2%                        M
390,Budup 1% + AB 2%                         L
391,Budup 1% + AB 2%                        E
392,Budup 2% + AB 2%                         L
393,Budup 6% + AB 2%                       VL
394,Budup 4% + AB 2%                       VL
395,Untreated control
396,Budup 1% + AB 2%                        M
397,Budup Lonza 4% + AB 2%           M
398,Budup 2% + AB 2%                       VL
399,3% HiCane                                        L
400,Budup 1% + AB 2%                       VL
401,Budup 6% + AB 2%                         L
402,Budup 2% + AB 2%                        E
403,Budup 6% + AB 2%                        M
404,Budup 4% + AB 2%                        E
405,Budup 6% + AB 2%                        E
406,Budup 2% + AB 2%                        M
407,3% HiCane                                       M
408,Untreated control
409,Budup 2% + AB 2%                        M
410,Budup 4% + AB 2%                        M
411,Budup 1% + AB 2%                       VL
412,Budup 2% + AB 2%                        E
413,Budup 6% + AB 2%                         L
414,Budup 4% + AB 2%                       VL
415,Budup 6% + AB 2%                       VL
416,Budup 1% + AB 2%                         L
417,Budup 6% + AB 2%                        M
418,3% HiCane + 0.2% Driftstop E         
419,3% HiCane                                      VL
420,Budup 4% + AB 2%                         L
421,Budup 1% + AB 2%                        M
422,Budup 2% + AB 2%                         L
423,Budup 1% + AB 2%                        E
424,Untreated control
425,Budup 2% + AB 2%                       VL
426,Budup Lonza 4% + AB 2%           M
427,Budup 4% + AB 2%                        E
428,3% HiCane                                       M
429,2% AB                                                M
430,Untreated control
431,3% HiCane                                        L
432,Budup 6% + AB 2%                        E
433,Budup 4% + AB 2%                        E
434,Budup 4% + AB 2%                       VL
435,Budup 4% + AB 2%                        M
436,Budup 1% + AB 2%                       VL
437,Budup 6% + AB 2%                        M
438,3% HiCane + 0.2% Driftstop E         
439,Budup Lonza 4% + AB 2%           M
440,Budup 2% + AB 2%                       VL
441,Untreated control
442,3% HiCane                                       M
443,Budup 6% + AB 2%                        E
444,Budup 2% + AB 2%                        M
445,Budup 1% + AB 2%                        M
446,2% AB                                                M
447,Untreated control
448,Budup 2% + AB 2%                        E
449,3% HiCane                                        L
450,3% HiCane                                      VL
451,Budup 1% + AB 2%                         L
452,Budup 1% + AB 2%                        E
453,Budup 4% + AB 2%                         L
454,Budup 2% + AB 2%                         L
455,Budup 6% + AB 2%                       VL
456,Budup 6% + AB 2%                         L
457,Budup 6% + AB 2%                        M
458,Budup 6% + AB 2%                       VL
459,Budup 1% + AB 2%                        M
460,Budup 2% + AB 2%                       VL
461,Budup 4% + AB 2%                       VL
462,3% HiCane + 0.2% Driftstop E         
463,Budup Lonza 4% + AB 2%           M
464,Untreated control
465,Budup 1% + AB 2%                       VL
466,Budup 4% + AB 2%                        M
467,Budup 2% + AB 2%                         L
468,3% HiCane                                        L
469,Untreated control
470,Budup 6% + AB 2%                         L
471,Budup 2% + AB 2%                        M
472,Budup 4% + AB 2%                        E
473,Budup 1% + AB 2%                         L
474,3% HiCane                                      VL
475,Budup 2% + AB 2%                        E
476,Budup 1% + AB 2%                        E
477,Budup 6% + AB 2%                        E
478,2% AB                                                M
479,3% HiCane                                       M
480,Budup 4% + AB 2%                         L
