CaneID,coy,Treatment
1367,",5-8-.947.-44267-.775--367777L53",6% HiCane + 0.2% Driftstop E         
1368,",9586.998..69.837.6989.9.88L500",Untreated control
1369,",-1483.38-998889-578979.8716.9797.6.4L52",Budup 4% + AB 2%                        E
1370,",949.8989.99.9.56.9099.988.976.L37",2% AB                                                M
1371,",7688.8.88.7997786.99.9999.377L46",Untreated control
1372,",7-400-04048.85.9064.6006..2L2",6% HiCane                                      VL
1373,",-8767899-9987999688646l115",6% HiCane                                       M
1374,",478869889977-7.8697798.8757.551l19",Budup 2% + AB 2%                         L
1375,",376.747-07.96.8.55.7.96.8656376.35l7",Budup 6% + AB 2%                         L
1376,",53.5.77.8.88.5.9.73.7.47.68.77678751l6",Budup 1% + AB 2%                       VL
1377,",778677.59699.7.9.98.9697656.l30",Budup 4% + AB 2%                        M
1378,",-.-6....87876653.58543l25",Budup 6% + AB 2%                        M
1379,",-8.0.7878599.9978.98694757l27",Budup 1% + AB 2%                         L
1380,",99095.9.9-4938907.7939953.79513-454l43",Budup 2% + AB 2%                       VL
1381,",----43.7891999.9.8999l45",Budup 6% + AB 2%                        E
1382,",---57675.799.l32",Budup 2% + AB 2%                        E
1383,",----.226879.87.9.8375.6966378.6l48",6% HiCane                                        L
1384,",-987.26-77.65l23",Budup 4% + AB 2%                         L
1385,",372.84.19.89.95.6497788889784.5l25",2% AB                                                M
1386,",..6398908927.766..l41",Budup 1% + AB 2%                        M
1387,",8786887776778778478678989999497..l48",6% HiCane                                       M
1388,",5.66..3672.67.8.8.49.9.68.99.9.9888..l5",Budup 1% + AB 2%                       VL
1389,",..40.7..8.8.9.19.878707979.l0",Budup 4% + AB 2%                       VL
1390,",989.99.9.88.9398.8989.99897..3l19",Budup 4% + AB 2%                        M
1391,",---502488....87659738589099.5898768.6..l5",Budup 6% + AB 2%                        M
1392,",654....53...88.97.986997.798.9797989879..l25",Budup 2% + AB 2%                         L
1393,",53.7..6...79799..99.97998.99979.l32",Budup 6% + AB 2%                       VL
1394,",4997.887678898.9797.599887.l59",Budup 2% + AB 2%                        E
1395,",7.7.06.99.7.79.9.89.86.7768....l22",Budup 2% + AB 2%                        M
1396,",-356..655.787.776.785.7.54442.75453.l58",Budup 6% + AB 2%                        E
1397,",56487597.86....5.3....05...03643.l42",Untreated control
1398,",63818.7.78.8.91.45.........0.3-5l46",Untreated control
1399,",9699..99.9767.9989999768...l60",6% HiCane                                        L
1400,",8958.977.78.8887998l12",Budup 1% + AB 2%                         L
1401,",85.7...89.99.899.97.999976398.6765l23",Budup 4% + AB 2%                         L
1402,",97869.989988.97.8.26.888.2.6...l56",Budup 4% + AB 2%                        E
1403,",5574.6..70.8.86.89.7699.9775.614l21",Budup 2% + AB 2%                       VL
1404,",42427...787896571587578.7.86.88686l92",6% HiCane + 0.2% Driftstop E         
1405,",5259-9.99.8.99.6099.46756716.60l30",Budup Lonza 4% + AB 2%           M
1406,",6...27.4.61.7896.45..l6",Budup 6% + AB 2%                         L
1407,",477..375..699787.9.66.4l6",Budup 1% + AB 2%                        E
1408,",3420....3.64.57776.l1",6% HiCane                                      VL
1409,",4656084..9-97.97.98890093587798663.l20",Budup 4% + AB 2%                       VL
1410,",-745.56368897988.96791618666997968978867l27",Budup 4% + AB 2%                         L
1411,",8618278.8949689.8797.7978.9.9767467.l47",6% HiCane                                        L
1412,",54-76376.987..64.l36",Budup 2% + AB 2%                        E
1413,",-76--73-4.0l14",6% HiCane                                       M
1414,",38287789998958..0l22",Budup 1% + AB 2%                         L
1415,",764.4.68.9...95.678....3769999989.l16",Budup Lonza 4% + AB 2%           M
1416,",333.3.5...69.6.89755.86.6.74.5..l4",Untreated control
1417,",57.8.9..9.87.5.7656.65.7.79.6557..l18",2% AB                                                M
1418,",67.59..919208.98.9159.57753.l10",Budup 1% + AB 2%                       VL
1419,",78.8905550780.8775.l3",Budup 6% + AB 2%                       VL
1420,",-314.443444.066667487-6.6.65.l9",Budup 6% + AB 2%                        E
1421,",65.7.75.4.7626.55.5754.3..l1",Budup 2% + AB 2%                        M
1422,",34..4.68.6.36.6424566.55.8865-2.l1",Budup 6% + AB 2%                        M
1423,",1322---7-5--.34625533-706l3",6% HiCane + 0.2% Driftstop E         
1424,",4076587-307493882585400.l1",Budup 6% + AB 2%                         L
1425,",45768.74.8266.5779677.53l24",Budup 1% + AB 2%                        E
1426,",-8754784676.69.6.4.l9",Budup 4% + AB 2%                        E
1427,",465.65.3584.5876645l0",Budup 4% + AB 2%                        M
1428,",364437.77.8.6758777755l0",Budup 2% + AB 2%                         L
1429,",256.87.7.79199.9-9929.8.-536777l20",Budup 2% + AB 2%                       VL
1430,",657.7874.9959.89.7.89....4.5.55465l49",Untreated control
1431,",776.54..9255.8979l9",6% HiCane                                      VL
1432,",--0.3786785.8777.56.65.8..9.77.....l0",Budup 1% + AB 2%                        M
1433,",-355.7287.7377.7076.4411.l7",Budup Lonza 4% + AB 2%           M
1434,",48772889.887777.l35",Budup 2% + AB 2%                        E
1435,",.686786687767475688586l12",6% HiCane                                        L
1436,",.666678699947.33.l9",Budup 6% + AB 2%                         L
1437,",7347146.67.8556.54l10",Budup 6% + AB 2%                        M
1438,",4577.37..99..8..88.574.38.66..68.770.l8",Budup 1% + AB 2%                       VL
1439,",-105.54.5.83.6-45l0",Budup 6% + AB 2%                       VL
1440,",86....8748.7.7984.9877.2.2l1",Budup 1% + AB 2%                         L
1441,",45-.-7-57126..l12",Budup 1% + AB 2%                        E
1442,",---8.7099.99.98-9.88.9999.66..0l55",2% AB                                                M
1443,",5-8875-.7897.75l14",Untreated control
1444,",...65..74..9.6.16.576887.75657.l27",Untreated control
1445,",--25.677-8.7-7757644l33",Budup 1% + AB 2%                        M
1446,",6-4858.6876876.78.8.8699.8800l45",Budup 4% + AB 2%                        E
1447,",73562..67.7834.2.5059.88l8",6% HiCane                                      VL
1448,",88.8-76.6989.76.6.l6",Budup 2% + AB 2%                         L
1449,",-4841188.878979788.4l62",6% HiCane                                       M
1450,",687.76..92789.5l14",Budup 2% + AB 2%                       VL
1451,",.4.7....7847.9.87.9697.9898l5",Budup 4% + AB 2%                        M
1452,",213.6.7..7.5.8.79.57.8.79.7628.44l6",Budup 4% + AB 2%                       VL
1453,",5438.8969749.89.7.79.8768.876614l5",Budup 4% + AB 2%                         L
1454,",--878687.7466.9948828667..707107.17l11",Budup 6% + AB 2%                        E
1455,",1.35538.16.98.76881976445l1",Budup 2% + AB 2%                        M
1456,",---.-32----3465-3334--6l4",6% HiCane + 0.2% Driftstop E         
1457,",35888984-8l26",Untreated control
1458,",687.7.897..8598989999899.l50",Budup 1% + AB 2%                         L
1459,",-9.70.6989.99.974999..6.89.9.8989.634.l66",Budup Lonza 4% + AB 2%           M
1460,",.5899.891.99778869.888999899.2.l66",Budup 6% + AB 2%                        M
1461,",4.978989999.898.07.7949.8966..l44",Budup 4% + AB 2%                        E
1462,",6.2.3.666..88...7.6.28.79.96898.4.9968975..l27",Budup 2% + AB 2%                       VL
1463,",-96.9..8.557..6858.403989..0l22",Budup 4% + AB 2%                       VL
1464,",99599.9999.9969.99.9.89.73.7.65.l42",Budup 6% + AB 2%                         L
1465,",133452468269.5578787853548466566..3..l29",6% HiCane                                       M
1466,",5058.84.7.88.8.87.9.87.80.4...0l0",6% HiCane                                      VL
1467,",789789.7999.7979.9868.77.5..l26",Budup 1% + AB 2%                        M
1468,",454..6.6.77.7..5.7..835567.7.7757.4..l15",Untreated control
1469,",15.697.-3-.9.9-677872678.6.l24",6% HiCane                                        L
1470,",3-9..88864677.873875..l17",Budup 2% + AB 2%                         L
1471,",----8-4.-...88.9998.7.88723..l30",Budup 2% + AB 2%                        E
1472,",-5786-979969191l16",Budup 4% + AB 2%                         L
1473,",8.79.6988597817585l2",Budup 2% + AB 2%                        M
1474,",4.468.5-46.6.87.5177.7587.898-.l32",Budup 1% + AB 2%                        E
1475,",6776.8.7..3-326.49.7.87.597887l7",Budup 6% + AB 2%                        E
1476,",2-..-54.-7.8.3553-75989699.87.l54",6% HiCane + 0.2% Driftstop E         
1477,",5856.2535.44.1.10.064.0l10",2% AB                                                M
1478,",14328.886..8.562...7.68.97890l21",Budup 4% + AB 2%                        M
1479,",32.55...75.469.5.9957544l8",Budup 1% + AB 2%                       VL
1480,",.42.35.5..6.07.6..9967697689.687l13",Budup 6% + AB 2%                       VL
