CaneNo,Trt/Timing
1296,BU 4% + 2% AB - M
1297,Untreated control
1298,BU 6% + 2% AB - L
1299,BU 2% + 2% AB - M
1300,BU 4% + 2% AB - E
1301,HC 6% + 0.2%DS - E
1302,BU Lonza 4% + 2% AB - M
1303,BU 2% + 2% AB - L
1304,Untreated control
1305,BU 2% + 2% AB - L
1306,BU Lonza 4% + 2% AB - M
1307,BU 1% + 2% AB - E
1308,BU 4% + 2% AB - L
1309,BU 6% + 2% AB - M
1310,BU 1% + 2% AB - M
1311,2% AB - M
1312,HC 6% + 0.2%DS - L
1313,Untreated control
1314,BU 4% + 2% AB - E
1315,BU 6% + 2% AB - L
1316,BU 2% + 2% AB - M
1317,BU 4% + 2% AB - M
1318,BU 2% + 2% AB - E
1319,Untreated control
1320,BU 6% + 2% AB - E
1321,HC 6% + 0.2%DS - M
1322,HC 6% + 0.2%DS - E
1323,BU 1% + 2% AB - L
1324,BU 6% + 2% AB - E
1325,BU 1% + 2% AB - E
1326,BU 1% + 2% AB - M
1327,BU 4% + 2% AB - L
1328,HC 6% + 0.2%DS - L
1329,BU 4% + 2% AB - E
1330,BU 4% + 2% AB - L
1331,BU Lonza 4% + 2% AB - M
1332,BU 2% + 2% AB - L
1333,Untreated control
1334,2% AB - M
1335,HC 6% + 0.2%DS - M
1336,BU 1% + 2% AB - M
1337,BU 6% + 2% AB - E
1338,BU 4% + 2% AB - M
1339,BU 1% + 2% AB - E
1340,HC 6% + 0.2%DS - E
1341,BU 4% + 2% AB - L
1342,BU Lonza 4% + 2% AB - M
1343,BU 2% + 2% AB - M
1344,Untreated control
1345,BU 6% + 2% AB - L
1346,BU 1% + 2% AB - M
1347,HC 6% + 0.2%DS - L
1348,Untreated control
1349,HC 6% + 0.2%DS - M
1350,BU 2% + 2% AB - M
1351,BU 1% + 2% AB - E
1352,Untreated control
1353,BU Lonza 4% + 2% AB - M
1354,BU 2% + 2% AB - E
1355,HC 6% + 0.2%DS - L
1356,BU 2% + 2% AB - L
1357,HC 6% + 0.2%DS - M
1358,BU 4% + 2% AB - M
1359,BU 1% + 2% AB - L
1360,BU 6% + 2% AB - M
1361,BU 4% + 2% AB - E
1362,BU 6% + 2% AB - L
1363,BU 6% + 2% AB - M
1364,BU 1% + 2% AB - E
1365,BU 1% + 2% AB - L
1366,HC 6% + 0.2%DS - E
1367,Untreated control
1368,BU 4% + 2% AB - E
1369,BU 2% + 2% AB - M
1370,2% AB - M
1371,BU 2% + 2% AB - L
1372,HC 6% + 0.2%DS - L
1373,BU 6% + 2% AB - L
1374,BU 2% + 2% AB - E
1375,BU 4% + 2% AB - M
1376,BU 4% + 2% AB - E
1377,BU 6% + 2% AB - M
1378,Untreated control
1379,BU 1% + 2% AB - E
1380,2% AB - M
