CaneID,WinterBuds,KingFlowers,LateralFlowers,BudBreak,VegetativeShoots,FloralShootPercentage,KingFlowersPerWinterBud,LateralFlowersPerWinterBud,KingFlowersPerFloralShoots
1068,20,110,30,75,1,70,5.5,1.5,7.857142857142857
1069,29,148,20,72.41379310344827,0,71.42857142857143,5.285714285714286,0.7142857142857143,7.4
1070,28,182,58,78.57142857142857,0,78.57142857142857,6.5,2.0714285714285716,8.272727272727273
1071,28,153,32,75,1,71.42857142857143,5.464285714285714,1.1428571428571428,7.65
1072,38,161,24,76.31578947368422,2,71.05263157894737,4.2368421052631575,0.631578947368421,5.962962962962963
1073,45,312,59,91.11111111111111,0,90.9090909090909,7.090909090909091,1.3409090909090908,7.8
1074,32,139,54,68.75,1,65.625,4.34375,1.6875,6.619047619047619
1075,41,179,25,75.60975609756098,1,72.5,4.475,0.625,6.172413793103448
1076,17,86,6,76.47058823529412,0,76.47058823529412,5.0588235294117645,0.35294117647058826,6.615384615384615
1077,18,117,43,83.33333333333334,0,83.33333333333334,6.5,2.388888888888889,7.8
1078,33,111,10,63.63636363636363,0,63.63636363636363,3.3636363636363638,0.30303030303030304,5.285714285714286
1079,27,191,102,96.2962962962963,0,96.29629629629629,7.074074074074074,3.7777777777777777,7.346153846153846
1080,25,96,15,64,1,60,3.84,0.6,6.4
1081,37,154,18,70.27027027027026,0,70.27027027027027,4.162162162162162,0.4864864864864865,5.923076923076923
1082,38,239,29,86.8421052631579,2,81.57894736842105,6.2894736842105265,0.7631578947368421,7.709677419354839
1083,21,108,22,90.47619047619048,0,90,5.4,1.1,6
1084,19,109,15,78.94736842105263,0,77.77777777777779,6.055555555555555,0.8333333333333334,7.785714285714286
1085,20,57,4,65,0,58.82352941176471,3.3529411764705883,0.23529411764705882,5.7
1086,16,104,27,87.5,0,87.5,6.5,1.6875,7.428571428571429
1087,41,190,10,73.17073170731707,2,68.29268292682927,4.634146341463414,0.24390243902439024,6.785714285714286
